Duration => Threshold
UI Thread => 9
Worker Thread => 171

----------------StartUI----------------
<java.lang.String: boolean equals(java.lang.Object)>: 6
<android.graphics.Bitmap: int getHeight()>: 1
<android.graphics.BitmapFactory$Options: void <init>()>: 1
<java.lang.Object: boolean equals(java.lang.Object)>: 1
----------------StartWorker----------------
<java.io.FileOutputStream: void close()>: 14
<java.io.PrintStream: void println(java.lang.String)>: 14
<java.lang.String: boolean equals(java.lang.Object)>: 12
<com.fasterxml.jackson.databind.JsonMappingException: void <init>(java.lang.String)>: 8
<java.io.InputStream: int read(byte[],int,int)>: 7
<java.nio.ByteBuffer: java.nio.ByteBuffer allocate(int)>: 7
<java.nio.channels.Channel: void close()>: 7
<android.net.Uri: android.net.Uri parse(java.lang.String)>: 7
<java.io.ObjectOutputStream: void close()>: 7
<java.io.ByteArrayInputStream: void <init>(byte[])>: 7
<java.io.File: java.lang.String getAbsolutePath()>: 7
<com.fasterxml.jackson.databind.JavaType: int hashCode()>: 7
<java.util.zip.GZIPInputStream: void close()>: 7
<java.io.InputStreamReader: void <init>(java.io.InputStream,java.lang.String)>: 7
<java.net.URI: java.lang.String getHost()>: 7
<java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>: 7
<java.net.InetAddress: java.lang.String toString()>: 7
<java.io.FilterInputStream: int read(byte[])>: 7
<com.fasterxml.jackson.core.JsonGenerator: void close()>: 7
<java.net.Socket: void setTcpNoDelay(boolean)>: 7
<java.io.BufferedReader: void <init>(java.io.Reader,int)>: 5
<java.lang.String: int hashCode()>: 4
<java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>: 1
<java.io.OutputStream: void write(byte[],int,int)>: 1
